player_score,opponent_score,best_n,best_rating
0,94,28,0.278409224748557
0,95,28,0.23767098223839234
0,96,28,0.19544646760432371
0,97,28,0.15220156021916026
0,98,28,0.1084373856462665
0,99,28,0.06467321107337273
0,100,28,0.021428303688209284
1,0,0,1.0
1,1,1,1.0
1,2,2,1.0
1,3,3,1.0
1,4,4,1.0
1,5,5,1.0
1,6,6,1.0
1,7,7,1.0
1,8,8,1.0
1,9,9,1.0
1,10,10,1.0
1,11,11,1.0
1,12,12,1.0
1,13,13,1.0
1,14,14,1.0
1,15,15,1.0
1,16,16,1.0
1,17,16,0.9999999999998227
1,18,16,0.9999999999968098
1,19,17,0.9999999999893363
1,20,17,0.9999999999843148
1,21,17,0.9999999999511717
1,22,17,0.9999999997794309
1,23,17,0.9999999990352202
1,24,17,0.9999999962306207
1,25,17,0.9999999867939093
1,26,18,0.9999999816234363
1,27,18,0.9999999746114353
1,28,18,0.9999999540200176
1,29,18,0.9999998977351127
1,30,18,0.9999997533439374
1,31,18,0.9999994034067557
1,32,18,0.9999985979132356
1,33,19,0.9999983376305874
1,34,19,0.9999978133853451
1,35,19,0.9999966727447278
1,36,19,0.999994289744105
1,37,19,0.9999894963142635
1,38,19,0.9999801908487507
1,39,20,0.9999638250785523
1,40,20,0.9999578889818306
1,41,20,0.999946744578819
1,42,20,0.9999264442730346
1,43,20,0.9998905140314835
1,44,20,0.9998286436534548
1,45,20,0.9997248753228252
1,46,21,0.9995729460145072
1,47,21,0.9995058291677376
1,48,21,0.9993954376929991
1,49,21,0.9992180846684006
1,50,21,0.9989395513510758
1,51,21,0.9985116371398309
1,52,21,0.9978681271732593
1,53,22,0.9970327347985043
1,54,22,0.9966018143326584
1,55,22,0.995961284714162
1,56,22,0.9950276584576776
1,57,22,0.9936926003942325
1,58,22,0.9918188773176363
1,59,22,0.9892368636415464
1,60,23,0.9861516095427753
1,61,23,0.9843416604187533
1,62,23,0.981863883711194
1,63,23,0.9785293182195488
1,64,23,0.9741164073471825
1,65,23,0.9683721051592263
1,66,23,0.961015396080991
1,67,24,0.952727867431244
1,68,24,0.947294859700728
1,69,24,0.94035784259904
1,70,24,0.9316354487106988
1,71,24,0.9208332626175388
1,72,24,0.9076544472284227
1,73,24,0.891812844004103
1,74,25,0.8747148721022578
1,75,25,0.8623404090409821
1,76,25,0.8474710950427069
1,77,25,0.829854375578441
1,78,25,0.8092726555321766
1,79,25,0.7855584358347064
1,80,25,0.7586089919399949
1,81,26,0.7304299680034698
1,82,26,0.7081064854242629
1,83,26,0.6826935702773573
1,84,26,0.6541428607110953
1,85,26,0.6224850010918773
1,86,26,0.5878371034509405
1,87,26,0.5504064312625461
1,88,27,0.5121942641892617
1,89,27,0.4792581361133137
1,90,27,0.44355384244436613
1,91,27,0.4053293107287712
1,92,27,0.36491316443351995
1,93,27,0.32270731869612296
1,94,27,0.2791755692744898
1,95,28,0.23555261737213842
1,96,28,0.19481437486197375
1,97,28,0.15258986022790513
1,98,28,0.10934495284274169
1,99,28,0.06558077826984793
1,100,28,0.021816603696954165
2,0,0,1.0
2,1,0,1.0
2,2,1,1.0
2,3,2,1.0
2,4,3,1.0
2,5,4,1.0
2,6,5,1.0
2,7,6,1.0
2,8,7,1.0
2,9,8,1.0
2,10,9,1.0
2,11,10,1.0
2,12,11,1.0
2,13,12,1.0
2,14,13,1.0
2,15,14,1.0
2,16,15,1.0
2,17,16,1.0
2,18,16,0.9999999999998227
2,19,16,0.9999999999968098
2,20,16,0.99999999996987
2,21,17,0.9999999999270678
2,22,17,0.9999999998939247
2,23,17,0.9999999997221839
2,24,17,0.9999999989779732
2,25,17,0.9999999961733738
2,26,17,0.9999999867366623
2,27,17,0.9999999578550628
2,28,18,0.999999944047913
2,29,18,0.9999999234564954
2,30,18,0.9999998671715904
2,31,18,0.9999997227804152
2,32,18,0.9999993728432335
2,33,18,0.9999985673497134
2,34,18,0.9999967985764597
2,35,19,0.9999962571025572
2,36,19,0.99999511646194
2,37,19,0.9999927334613171
2,38,19,0.9999879400314756
2,39,19,0.9999786345659628
2,40,19,0.9999611647674694
2,41,20,0.9999317758866337
2,42,20,0.9999206314836222
2,43,20,0.9999003311778377
2,44,20,0.9998644009362867
2,45,20,0.999802530558258
2,46,20,0.9996987622276283
2,47,20,0.999529074806016
2,48,21,0.9992879533662087
2,49,21,0.9991775618914702
2,50,21,0.9990002088668717
2,51,21,0.9987216755495469
2,52,21,0.998293761338302
2,53,21,0.9976502513717305
2,54,21,0.9967024305711336
2,55,22,0.9954979250445356
2,56,22,0.9948573954260392
2,57,22,0.9939237691695548
2,58,22,0.9925887111061097
2,59,22,0.9907149880295135
2,60,22,0.9881329743534236
2,61,22,0.9846382303004035
2,62,23,0.9805273850552144
2,63,23,0.9780496083476552
2,64,23,0.97471504285601
2,65,23,0.9703021319836437
2,66,23,0.9645578297956875
2,67,23,0.9572011207174521
2,68,23,0.9479293386721185
2,69,24,0.937607222885777
2,70,24,0.930670205784089
2,71,24,0.9219478118957478
2,72,24,0.9111456258025878
2,73,24,0.8979668104134717
2,74,24,0.882125207189152
2,75,24,0.8633604445181221
2,76,25,0.8432902741261717
2,77,25,0.8284209601278966
2,78,25,0.8108042406636307
2,79,25,0.7902225206173663
2,80,25,0.7665083009198961
2,81,25,0.7395588570251845
2,82,25,0.7093493786509308
2,83,26,0.6779840907402205
2,84,26,0.6525711755933149
2,85,26,0.6240204660270529
2,86,26,0.5923626064078349
2,87,26,0.5577147087668981
2,88,26,0.5202840365785036
2,89,26,0.4803673222845325
2,90,27,0.43984588618629555
2,91,27,0.404141592517348
2,92,27,0.36591706080175307
2,93,27,0.3255009145065018
2,94,27,0.2832950687691048
2,95,27,0.2397633193474716
2,96,27,0.19541643112530765
2,97,28,0.15118116746806542
2,98,28,0.1089566528339968
2,99,28,0.06571174544883336
2,100,28,0.021947570875939598
3,0,0,1.0
3,1,0,1.0
3,2,0,1.0
3,3,1,1.0
3,4,2,1.0
3,5,3,1.0
3,6,4,1.0
3,7,5,1.0
3,8,6,1.0
3,9,7,1.0
3,10,8,1.0
3,11,9,1.0
3,12,10,1.0
3,13,11,1.0
3,14,12,1.0
3,15,13,1.0
3,16,14,1.0
3,17,15,1.0
3,18,16,1.0
3,19,16,0.9999999999998227
3,20,16,0.9999999999968098
3,21,16,0.99999999996987
3,22,16,0.9999999998011421
3,23,17,0.9999999996076899
3,24,17,0.9999999994359491
3,25,17,0.9999999986917384
3,26,17,0.999999995887139
3,27,17,0.9999999864504275
3,28,17,0.999999957568828
3,29,17,0.9999998760591832
3,30,18,0.9999998414502079
3,31,18,0.999999785165303
3,32,18,0.9999996407741277
3,33,18,0.999999290836946
3,34,18,0.999998485343426
3,35,18,0.9999967165701723
3,36,19,0.9999930473840993
3,37,19,0.999991906743482
3,38,19,0.9999895237428592
3,39,19,0.9999847303130177
3,40,19,0.9999754248475049
3,41,19,0.9999579550490115
3,42,19,0.9999261809660304
3,43,20,0.9998748840957171
3,44,20,0.9998545837899326
3,45,20,0.9998186535483816
3,46,20,0.9997567831703529
3,47,20,0.9996530148397232
3,48,20,0.999483327418111
3,49,20,0.9992125352472865
3,50,21,0.9988383710583496
3,51,21,0.9986610180337511
3,52,21,0.9983824847164263
3,53,21,0.9979545705051814
3,54,21,0.9973110605386099
3,55,21,0.996363239738013
3,56,21,0.9949951933473714
3,57,22,0.9932911685872716
3,58,22,0.9923575423307872
3,59,22,0.9910224842673421
3,60,22,0.9891487611907459
3,61,22,0.986566747514656
3,62,22,0.9830720034616359
